Date,Balance,Inflow,Outflow,Netflow,Netflow_Calculated,daily_decay_rate,decay_rate_ma30,decay_rate_ma90,balance_ma30,balance_ma90,day_of_week,day_name,month,month_name,year
2016-12-31,10000.0,76.69585090314021,271.2054225646165,-194.50957166147631,-194.50957166147631,0.02712054225646165,0.02712054225646165,0.02712054225646165,10000.0,10000.0,5,Saturday,12,December,2016
2017-01-01,9805.490428338524,93.50674394534046,232.2712694089696,-138.76452546362913,-138.76452546362913,0.02368787885791924,0.025404210557190447,0.025404210557190447,9902.745214169263,9902.745214169263,6,Sunday,1,January,2017
2017-01-02,9666.725902874894,431.6221299990898,307.5832305568295,124.03889944226029,124.03889944226029,0.03181875990353197,0.02754239367263762,0.02754239367263762,9824.072110404473,9824.072110404473,0,Monday,1,January,2017
2017-01-03,9790.764802317155,341.41645330368675,309.10115216280093,32.31530114088582,32.31530114088582,0.03157068506942857,0.028549466521835355,0.028549466521835355,9815.745283382643,9815.745283382643,1,Tuesday,1,January,2017
2017-01-04,9823.080103458042,339.8659595736823,305.24006941771245,34.62589015596984,34.62589015596984,0.03107376364672605,0.029054325946813498,0.029054325946813498,9817.212247397723,9817.212247397723,2,Wednesday,1,January,2017
2017-01-05,9857.705993614012,312.8662696377993,292.257151324157,20.609118313642284,20.609118313642284,0.029647582461222326,0.0291532020325483,0.0291532020325483,9823.961205100439,9823.961205100439,3,Thursday,1,January,2017
2017-01-06,9878.315111927655,91.01244155617462,189.41147937252111,-98.39903781634649,-98.39903781634649,0.01917447228868156,0.027727669211995907,0.027727669211995907,9831.726048932896,9831.726048932896,4,Friday,1,January,2017
2017-01-07,9779.91607411131,71.74518191893911,171.7820801334799,-100.03689821454078,-100.03689821454078,0.01756478060054207,0.02645730813556418,0.02645730813556418,9825.2498020802,9825.2498020802,5,Saturday,1,January,2017
2017-01-08,9679.879175896769,339.305762414165,299.15773686828965,40.14802554587533,40.14802554587533,0.030905110635389196,0.026951508413322514,0.026951508413322514,9809.097510282041,9809.097510282041,6,Sunday,1,January,2017
2017-01-09,9720.027201442645,263.2413791634721,283.8313592548638,-20.58998009139168,-20.58998009139168,0.029200675406827834,0.02717642511267305,0.02717642511267305,9800.190479398101,9800.190479398101,0,Monday,1,January,2017
2017-01-10,9699.437221351252,248.7447658913629,273.59688499351296,-24.852119102150056,-24.852119102150056,0.0282075009868869,0.027270159283056126,0.027270159283056126,9791.031092302932,9791.031092302932,1,Tuesday,1,January,2017
2017-01-11,9674.585102249102,270.6287360392846,262.0491694771434,8.579566562141224,8.579566562141224,0.027086347032724268,0.027254841595528472,0.027254841595528472,9781.327259798447,9781.327259798447,2,Wednesday,1,January,2017
2017-01-12,9683.164668811245,268.71403796638975,260.3375013403705,8.37653662601923,8.37653662601923,0.026885580308150525,0.02722643688111478,0.02722643688111478,9773.776291260969,9773.776291260969,3,Thursday,1,January,2017
2017-01-13,9691.541205437265,68.37216133177746,164.03971065677018,-95.66754932499272,-95.66754932499272,0.01692607059904349,0.026490696432395402,0.026490696432395402,9767.902356559276,9767.902356559276,4,Friday,1,January,2017
2017-01-14,9595.873656112271,74.31936474211655,159.21257011704867,-84.89320537493212,-84.89320537493212,0.016591774321208914,0.02583076829164964,0.02583076829164964,9756.433776529477,9756.433776529477,5,Saturday,1,January,2017
2017-01-15,9510.98045073734,325.8889272270463,285.3044678237256,40.58445940332069,40.58445940332069,0.029997377168576488,0.026091181346457566,0.026091181346457566,9741.092943667467,9741.092943667467,6,Sunday,1,January,2017
2017-01-16,9551.56491014066,392.2101171581746,265.0197248905504,127.19039226762425,127.19039226762425,0.027746209902126666,0.026188535967379276,0.026188535967379276,9729.944235812949,9729.944235812949,0,Monday,1,January,2017
2017-01-17,9678.755302408284,313.46176448051824,286.00137050596,27.460393974558258,27.460393974558258,0.029549395719798456,0.02637525039806923,0.02637525039806923,9727.100406179357,9727.100406179357,1,Tuesday,1,January,2017
